test,arch,platform,passed,status,extra_args,qemu,handler_time,ram_size,rom_size
tests/subsys/jwt/libraries.encoding,arc,nsim_em,True,,,False,26.474039793014526,107792,61260
tests/subsys/logging/log_core/logging.log_core,arc,nsim_em,True,,,False,7.098302364349365,35787,22808
tests/subsys/logging/log_list/logging.log_list,arc,nsim_em,True,,,False,6.989236116409302,42291,31424
tests/subsys/logging/log_msg/logging.log_msg,arc,nsim_em,True,,,False,6.928093433380127,45371,34504
tests/subsys/logging/log_output/logging.log_output,arc,nsim_em,True,,,False,7.243179559707642,42975,31572
tests/subsys/shell/shell_history/shell,arc,nsim_em,True,,,False,8.50940752029419,55421,43425
tests/ztest/base/testing.ztest.verbose_0,arc,nsim_em,True,,CONF_FILE=prj_verbose_0.conf,False,7.262070417404175,27660,18984
tests/ztest/base/testing.ztest.verbose_1,arc,nsim_em,True,,CONF_FILE=prj_verbose_1.conf,False,6.916718244552612,28120,19444
tests/ztest/base/testing.ztest.verbose_2,arc,nsim_em,True,,CONF_FILE=prj_verbose_2.conf,False,6.857815265655518,28176,19500
tests/ztest/custom_output/testing.ztest.customized_output,arc,nsim_em,True,,CONF_FILE=prj_customized_output.conf,False,7.210992813110352,27396,18692
tests/ztest/custom_output/testing.ztest.regular_output,arc,nsim_em,True,,,False,7.019846439361572,27420,18744
tests/ztest/mock/testing.ztest.mock,arc,nsim_em,True,,,False,6.293116569519043,29332,20572
